Ordinal,Nickname,Year,Make,Model,Car Division,Spec,Region,Country
247,Toyota 2000 '69,1969,Toyota,2000GT,Sport Coupe Icons,Factory,Asia,Japan
249,Ferrari 250 GTO,1962,Ferrari,250 GTO,Vintage Le Mans Sportscars,Factory,Europe,Italy
251,MB 300 SL '54,1954,Mercedes-Benz,300 SL Coupé,Sport Coupe Icons,Factory,Europe,Germany
253,Ferrari F355,1994,Ferrari,F355 Berlinetta,Sport GT Icons,Factory,Europe,Italy
255,Ferrari 512 '92,1992,Ferrari,512 TR,Exotic GT Classics,Factory,Europe,Italy
257,Ferrari 575M '02,2002,Ferrari,575M Maranello,Exotic GT Classics,Factory,Europe,Italy
260,P. 911 RS '73,1973,Porsche,911 Carrera RS,Vintage Sport Compact,Factory,Europe,Germany
261,P. 911 GT2 '95,1995,Porsche,911 GT2,Sport GT Icons,Factory,Europe,Germany
262,P. 911 GT3 '04,2004,Porsche,911 GT3,Sport GT Icons,Factory,Europe,Germany
263,P. 911 GT3 '07,2007,Porsche,911 GT3,Sport GT Icons,Factory,Europe,Germany
265,P. 911 Turbo '82,1982,Porsche,911 Turbo 3.3,Sport GT Icons,Factory,Europe,Germany
266,P. 914/6 '70,1970,Porsche,914/6,Vintage Sport Compact,Factory,Europe,Germany
268,P. 944 Turbo '89,1989,Porsche,944 Turbo,Sport Touring Classics,Factory,Europe,Germany
269,P. 959 '87,1987,Porsche,959,Exotic GT Classics,Factory,Europe,Germany
278,Vaux Astra '06,2006,Vauxhall,Astra VXR,Modern Hot Hatch,Factory,Europe,U.K.
286,MB C 32 '04,2004,Mercedes-Benz,C 32 AMG,Sport Touring Classics,Factory,Europe,Germany
287,Chev. Camaro '02,2002,Chevrolet,Camaro 35th Anniversary Super Sport,Sport Touring Classics,Factory,N. America,U.S.
289,Chev. Camaro '69,1969,Chevrolet,Camaro Super Sport Coupe,Vintage Muscle,Factory,N. America,U.S.
291,Vaux Carlton '90,1990,Vauxhall,Lotus Carlton,Sport Touring Classics,Factory,Europe,U.K.
292,P.CarreraGT '03,2003,Porsche,Carrera GT,Exotic GT Classics,Factory,Europe,Germany
295,Toyota Celica 03,2003,Toyota,Celica Sport Specialty II,Early Sport Compact,Factory,Asia,Japan
297,Ferrari 360 CC,2003,Ferrari,360 Challenge Stradale,Sport GT Icons,Factory,Europe,Italy
299,Chev Chevelle 70,1970,Chevrolet,Chevelle Super Sport 454,Street Drag Racers,Factory,N. America,U.S.
302,Honda Civic '04,2004,Honda,Civic Type R,Modern Hot Hatch,Factory,Asia,Japan
306,Shelby Cobra 427,1965,Shelby,Cobra 427 S/C,Vintage Le Mans Sportscars,Factory,N. America,U.S.
309,VW Corrado '95,1995,Volkswagen,Corrado VR6,Hot Hatch Icons,Factory,Europe,Germany
312,Chev. C3 427 '67,1967,Chevrolet,Corvette Stingray 427,Vintage Muscle,Factory,N. America,U.S.
314,Chev. C4 Z06 '02,2002,Chevrolet,Corvette Z06,Sport GT Icons,Factory,N. America,U.S.
315,Chev. ZR-1 '70,1970,Chevrolet,Corvette ZR-1,Vintage Muscle,Factory,N. America,U.S.
316,L. Countach '88,1988,Lamborghini,Countach LP5000 QV,Exotic GT Classics,Factory,Europe,Italy
320,Honda CR-X '91,1991,Honda,CR-X SiR,Hot Hatch Icons,Factory,Asia,Japan
323,Lancia Delta '92,1992,Lancia,Delta HF Integrale EVO,Hot Hatch Icons,Factory,Europe,Italy
324,L. Diablo GTR 99,1999,Lamborghini,Diablo GTR,Early Factory Racecars,Factory,Europe,Italy
